message,class
"Must say that, .pewdiepie Is the least alt-right scumbag there is, but you might hone in your missiles f.",Non-Bullying
"Whoa whoa whoa, don\'t call the guy who wants to execute millions of people a Nazi."".",Non-Bullying
"Hitler did NOT enact a gun ban in NAZI Germany.', 'In fact, it was more of the opposite.', 'How.",Non-Bullying
" In 2018, white supremacists &amp; white supremacist sympathizers will represent Republicans on the ballot in Arizona, Illinois, I.",Non-Bullying
"A tale of two people at #AnimeMatsuri.', 'One had a table in Artists Alley and posted a sign in support of sexual harassment vic.",Non-Bullying
This will cheer you up:.,Non-Bullying
Rakitic has been bossing Kroos 2 times a season for God knows how long now but apparently Lucho turning down that overhyp.,Non-Bullying
" The nazi left want to end 2nd i say civil war 2 .', 'i will die for my rights.",Non-Bullying
"TheEllenShow .KamalaHarris Well, time to boycott your show and your sponsors.', 'It bites but everyone needs to be held to.",Non-Bullying
"Honestly, there is nothing close to hilarious or funny in this - this is very very sick stuff and should be.",Non-Bullying
" EPISODE FOUR!', 'Nazi furries!', 'Awesome Repeal merch!', '#ShanowenShakedown!', 'Hear it all (and more) on our latest episode:.",Non-Bullying
"It?s hilarious to see the .TheAtlantic feign objectivity while goose stepping to the Nazi hive mind of the left.', 'They al.",Non-Bullying
".Translation: ""Waaaaaaaah.', 'And also, I\'m blaming the left for the right turning into a Nazi playground.""', 'Yeah, lik.",Non-Bullying
"Thanks . great info.', 'G.Farben,used Jewish slaves at its factories during the Holocaust.",Non-Bullying
"NORMIE: here?s my dog Preston.', 'Whenever I get the leash to go out he does this happy dance TWITTER PERSON: that dog is.",Non-Bullying
".Why am I such a grammar nazi?.', 'If there is one thing to take pride in, it?s your education!.",Non-Bullying
"[""Prince HARRY launches GRUELLING expedition across US before Meghan Markl... via .YouTube i'""]",Non-Bullying
Apparently there was a virtual riot/nazi rally on runescape earlier because jagex (the developer) released an LGBT awaren.,Non-Bullying
.a classic article worth reading anew via .Harpers.,Non-Bullying
.free porn vedios online nazi slut fucked.,Non-Bullying
" This woman did NOT get the Nobel Peace Prize.', 'Guess who got it instead of her?', 'Al Gore!', 'This woman saved 2,500 children.",Non-Bullying
"Dear Scott Dutcher .scott.usmc (probably not even your name...That's OK, we'll find out) yeah g""]",Non-Bullying
" I actually don't like to ask this because it's a negative question but what was the last film you didn't finish and why?"", 'Mi.",Non-Bullying
".Hitler had the Nazi Youth.', 'Israel has the Hilltop Youth..",Non-Bullying
DLoesch Yeah I mean we are all ?Nazi?s? and ?fascists? and Trump is ?literally Hitler?-so wouldn?t.,Non-Bullying
"Ricky Vaughn: - reached millions of people, normalizing fringe ideas - was cited as one of the most influential figures in.",Non-Bullying
" Really .Alyssa.Milano ?? I was called a Terrorist, murderer, Nazi, etc when I attended LAs #MarchForOurLives event as a.",Non-Bullying
"hey here is a picture of Douglass Mackey who lives on the Upper East side of Manhattan.', 'He was just oute.",Non-Bullying
"I know who lol he also is Kilgrave.', 'And the voice actor for a nazi in nazi zombies CoD WW2.",Non-Bullying
"Hmmmmmm Lets review.', ""What group violently suppresses free speech if it doesn't fit their rhetoric?"", 'riots but ca.",Non-Bullying
"When the crazed leftists call us ""nazi\'s"" the millions of untapped, normy masses look in our direction.', 'T.",Non-Bullying
RealJamesWoods Obama supports this Nazi!.,Non-Bullying
" Then a few, out of the millions of normy\'s, will say ""hmmm... these don\'t look like nazi boogy men.', 'These.",Non-Bullying
"Pentagon gave $70 million to Porton Down (UK) in the last decade for chemical &amp; biological weapons projects!', '122,000 ani.",Non-Bullying
What makes you think i am going away What scum drinks swamp water What scum so used to eating dung Doc doc trian Nazi.,Non-Bullying
"Rob Reiner says any one who watches the new #RoseanneBarr show is a Nazi ..', 'Lets ALL give ol Rob the anti Nazi patriot salut.",Non-Bullying
"The internet's biggest Nazi websites are facing a financial meltdown Both Stormfront's and the Daily Stormer's days might be""]",Non-Bullying
"Then why the fxck didn't he expel Russians a year ago?"", 'And, her grandfather was a Nazi, something she tried to hide!', 'Russian.",Non-Bullying
"Do you or do you not condone Roseanne Barr's Hitler/Nazi-inspired photo shoot?"", 'Are you OK with this?', 'Not watching ABC anymore..",Non-Bullying
" FBI raids home connected to crazed Nazi LARPer Jordan Jereb, the man who claimed Parkland shooter Nikolas Cruz trained with.",Non-Bullying
".Neo Nazi rally in Newman 4/21.', 'Thas wild.",Non-Bullying
"[""I'm a non-impulsive, high IQ Nazi LARPer, thank you very much.""]",Non-Bullying
"msnbc poll!!', ""soros became obama's biggest financial sugar daddy right about time this started to happen..""]",Non-Bullying
"Comparing Pep Guardiola to Goebbels is an exceedingly disgusting banalisation of the Shoah.', 'Goebbels, Propaganda Minister f.",Non-Bullying
"Honestly, there is nothing close to hilarious or funny in this - this is very very sick stuff and should.",Non-Bullying
"George Soros is now trying to eradicate Israel identity.', 'George Soros was also a member of the Nazi youth.', 'Now it all m.",Non-Bullying
".Watching the end of Starship Troopers.', 'Doogie Howser has just turned up in full Nazi regalia.', 'Incredible movie..",Non-Bullying
"Some families have a skeleton in the closet.', 'We had a Nazi flag in the attic..",Non-Bullying
neo-nazi propaganda found in Easter eggs in Missoula #Citizens.,Non-Bullying
Neo-Nazi website Stormfront close to shutting down as founder?s wife tires of paying hate site?s bills.,Non-Bullying
"All Jews in Nazi-occupied Czechoslovakia have been ordered to assemble in their synagogues for a ""census"".', 'In fact, Germa.",Non-Bullying
Police warns metro Atlanta community about planned neo Nazi rally A LIVE report on this story COMING U.,Non-Bullying
"I AM NOT a democrat.', 'I am a social liberal.', 'The Pepe I hav.",Non-Bullying
This is my baby army irl?s first comeback and I?m trying to explain the Euphoria teaser by linking her all the MVs cus it.,Non-Bullying
"SenMajLdr is worried.', '""I hope we can hold the senate..."" Either way you and lyin Ryan.",Non-Bullying
"..BettyAnnRoyal1 .BellaLuna468 .Libslady .Amy.Siskind Oh lord.', 'Seek some serious psychiatric help.', 'I have NO DOUBT y.",Non-Bullying
..christywebs3 .SomeDawson .parieobrien .camilalloyd7 .billboard You are such a rude person ???? do you come on here j.,Non-Bullying
"It?s painful to watch your significant other fall for another man.', 'Especially when he?s clearly more talented than you.",Non-Bullying
" Fuck off and leave him alone.', 'I suggest u leave spoofers alone.",Non-Bullying
".I bought 3 hot dogs from target cafe.', 'Everyone said ?awe you got a snack for your family?? I?m like NO BITCH these.",Non-Bullying
"Louis is a platinum recording solo artist.', 'Let that sink in.Are you ok?', 'Good.', 'some more news.', 'Harry is a platinum selling s.",Non-Bullying
".some girls are testin my patience today!!!!', 'im a crazy bitch i will cut you??.",Non-Bullying
".Drama pt2.', 'She told me about their issues and then accused me of trying to mess up her relationship.', '?? BITCH YALL.",Non-Bullying
" I hate a ?I won?t beg for you to be in my life? ass mf.', 'Like bitch, do you know what effort is?', 'TRYING &amp; BEGGING are comple.",Non-Bullying
.fUCK YOU LOOK SO GOOD.,Non-Bullying
"actual violation when you?re stood there on snapchat waiting for the drop to drop and you?re too early, fuck sake stop reco.",Non-Bullying
"Long distance relationships are so hard, like damn you be feeling lonely as fuck but you?re not really alone but your boo c.",Non-Bullying
Even when you give a fuck you cant give a fuck ....,Non-Bullying
So now she just sent me a Snap and it was a asscheek facing the mirror in the bathroom nude ???????????????????? I?m like FINALLY..,Non-Bullying
".""you gotta be nice to people"" No the fuck I don\'t.",Non-Bullying
"If there's one good thing about what OG are doing, is they're bringing EU masters a fuck ton of publicity, which is going""]",Non-Bullying
.Fuck you and your narrow minded.,Non-Bullying
fuck I love you..,Non-Bullying
".Also, ppl who smoke around kids.', 'Fuck you, dumb ass.",Non-Bullying
".Bruuuuhh I hope one day I can have my dreams pay me instead of working at a fuck as job.', 'Bless up to you man!.",Non-Bullying
" Im not comparing Williamson, Ingraham, or Eriksson to Mlk or the Dixie Chicks.', 'If you believe in you.",Non-Bullying
Fuck you coinbase.,Non-Bullying
".LOL, I literally just chased my dads dog around my house, picked him the fuck up&amp;literally threw him out onto the p.",Non-Bullying
".Fuck yeah it?s snowing in April.', 'My train car smells like vagrant piss, too.', 'Johnny O?Hagans is gone if you need.",Non-Bullying
".Oh my god what the fuck you love Parks&amp;Rec too ??', 'AND you casted all of the nct members perfectly ????', 'I?m ??.",Non-Bullying
That feeling just before he starts to fuck you????.,Non-Bullying
when your sub looks away while you fuck them bc they get so flustered so you grip their face and say ?look at me when im.,Non-Bullying
And if you didn?t fuck all I hope you had a good time.,Non-Bullying
.And that is why I love white girls cause you niggers are desperate as fuck and will try anything.,Non-Bullying
"If I ask you ""Who\'s going?""', ""that means I don't fuck with everyone you deal with.""]",Non-Bullying
 Instead of sitting around all day being mad at me and my truth how about you analyze what it is about me that triggers such.,Non-Bullying
"Bitches need that reason so they won?t look sad, miserable, &amp; obsessed for continuously speaking on you &amp; not receiving a.",Non-Bullying
"Would you like a one night stand?', '?? Single women looking for men ?? Meet and Fuck Tonight !!', '? ?.",Non-Bullying
"2 the ?fans? that gave Mikey a panic attack: Fuck you.', '2 the ?fans? that made Luke so angry he had to yell 2 them for.",Non-Bullying
"things that blow my mind: the fact that you can apparently punch a wall in an American house and it DENTs?', 'like it actually BRE.",Non-Bullying
".Moodys Investors Service - Moodys Assigns Initial Aa3 Rating to Russell County Public Library District, KYs Series.",Non-Bullying
" kys no wonder why you support oders, since you?re putting Anthro soon and removed tix cause all you care about is money so kys.",Non-Bullying
: i love my rich man.,Non-Bullying
"Off to DUBAI !!!', '- 10.",Non-Bullying
Fucking furry kys.,Non-Bullying
"Happy MINGYU's Day? #Happy.MINGYU.Day #SEVENTEEN #MINGYU""]",Non-Bullying
".first int game: i get 2 honors and my mates carry, uhhhhh just kys pls.",Non-Bullying
.fake ass bitch kys ? camille that?s pure flirting how cute xx.,Non-Bullying
".This honestly looks fake, but if you?re a dude and this is how you have to get women please kys.",Non-Bullying
.lemme tell you this sweet mudafaka go kys lol!.,Non-Bullying
".You know those people who think they know everything and when you try have an input, they say yea and disregard it kys ?.",Non-Bullying
If you?re a snitch kys.,Non-Bullying
" Now playing Monster by EXO And yes im dancing like nobody is watching me and I dont care..', 'ENJOY.",Non-Bullying
"you can't kys I love you :( and many people love you""]",Non-Bullying
Kys my childhood was playing with rocks.,Non-Bullying
.HONESTLY be assed with photography kys.,Non-Bullying
"kms= keeping myself safe kys= keep yourself safe no one's dying today *busts out into Staying Alive* .lilashmash""]",Non-Bullying
"MFAO kys.', 'dats why i said its true.', 'L.",Non-Bullying
"Arctic Monkeys & Post Malone released their album dates today, it's a good day""]",Non-Bullying
"Girl are over here saying all men are trash and shit.', 'Well why don?t you stop going after all the guys that only wanna f.",Non-Bullying
"kys monkey boi I'M!"", 'the coolest monkey in the jungle.",Non-Bullying
".I hate the ppl that buy all the totw versions of a card when it gets a power up.', 'Like foreal kys.",Non-Bullying
ThomasSanders: If you Then you don?t love don?t deserve me at my me at my.,Non-Bullying
"The top 1% of KYs will see an average tax cut of $7086.', 'People who make $175000 to $427000 a yr to see an average tax cu.",Non-Bullying
".?Man, you are one pathetic loser!? -I?m Lloyd Christmas bro........new mood..",Non-Bullying
".This guy better be history.', 'Another pathetic loser, should be in prison.",Non-Bullying
.For every pathetic loser out there our nation has produced 3/4 great sons that fill my heart with hope A pleasure t.,Non-Bullying
" You are going to keep track of all .LadyCaramelDXB credit cards and pay off the balance every month.', 'She doesnt ever even wan.",Non-Bullying
"I really think it's crazy how so many people, including Alpha's assume or think that u am Goddess ROXY'S husband or",Non-Bullying
if you come to Toronto I'll show you around so you don't have to wander around aimlessly like a pathetic loser ?,Non-Bullying
 How are any of my comments takin.,Non-Bullying
"My boot hitting you clitty is euphoric!', ""It's as close as you'll get to physical contact with me ?? Everyone: meet glasgow""]",Non-Bullying
.Such a pathetic loser..,Non-Bullying
".Anyone in the Uk to phone me up and help me accept what a total loser I am, I pay you keep me awake, can we make Mo.",Non-Bullying
Honestly I?m so much better then you in every way and that?s why you love me so much so stop admiring my photos from af.,Non-Bullying
".#Findom just woke up in thailand, gf next to me and easy fuck, first thing on my mind is go outside and log on to f.",Non-Bullying
.I?ve been finding people on Facebook groups to trade panini World Cup 2018 stickers with I don?t know what kinda pa.,Non-Bullying
realDonaldTrump What a sorry legacy 45 is going to leave behind when he's voted the worst - most,Non-Bullying
"..seanhannity Lol!', 'An alleged celebrity, .seanhannity, gets a pathetic turnout compared to a bunch of high school.",Non-Bullying
"""I'm a boring pathetic awkward pretentious loser."", 'I hate myself..",Non-Bullying
"realDonaldTrump said Mexico was doing nothing to stop the stream of immigrants.', 'Now .POTUS #DonTheCon?s story i.",Non-Bullying
".Up 7-3 in the 8th.', 'I wish them nothing but ill will.', 'Hate them.', ""They're the Cubs bitch."", ""If you're a white six fan,""]",Non-Bullying
" One thing about me, if I?m ever aiming something directly to a person I?ll say exactly who I?m talking about.', 'I never bee.",Non-Bullying
"TeamKhabib if a group of people were throwing chairs and bike racks at you, regardless o.",Non-Bullying
"Khabib has about 20 Russians with him he doesn?t travel alone.', 'These are tra.",Non-Bullying
".Sleepovers are fun till someone oversleeps and gets in trouble at school.', 'Will you help out .SummerBrooksXXX with a.",Non-Bullying
".The girls quoting this with ""my man can NEVER leave the house wearing this"" are the same girls who tweet ""my man ca.",Non-Bullying
"What are you talking about, he?s running up on a bus full of randoms with a gang of friends like an abso.",Non-Bullying
"When you get home and are surprised with a new toy!!', '???? Feels so fucking good ?? #pussy #vibrator #cum #thirstythursday #ho.",Non-Bullying
"You couldn't even get England to give you permission to have a pussy cat I'd say your constituents in Annan are shafted The jo""]",Non-Bullying
".Why is everyone being such a pussy about this situation?', 'Mcgregor threw something through a window he didn?t detona.",Non-Bullying
" When your #ass and #pussy are begging to be used??Happy #AssWednesday everyone!', 'Looks like my asshole is puckering up and.",Non-Bullying
"OMG .KissaSins you are so #sexy, so #delicious!', 'You have the most amazing #Booty, your #smile,#tits, shave #pussy, #As.",Non-Bullying
.Good shit she replied with a PUSSY MASSAGE VIDEO ?? I was scared to death that she would share my dick on social med.,Non-Bullying
spike ring with blackwork by #Craeven #Amsterdam #Handmade via .Etsy so when the shit comes down are y.,Non-Bullying
"realDonaldTrump WTF All those that want to see a Photo of Trump in Post Office!', 'Here is an Idea You Pit.",Non-Bullying
.Tell me why Steve was an asshole in season one and I will respond explaining why you are wrong..,Non-Bullying
"Iwan numerous other cast members have also said he?s an asshole outside of it too.', 'guess it ju.",Non-Bullying
"I?m tired of society?s ?everyone is perfect just the way they are? attitude.', 'F*** that.', 'Be honest with yourself.', 'If you?re a.",Non-Bullying
"I've reread the thread this all began with."", 'I do hope you can come to understand how dis.",Non-Bullying
.Attn #wrestlers attending .wrestlecon Be cool to one another Don?t be an asshole If you don?t like some douchebag j.,Non-Bullying
.Not with this resting bitch face.,Non-Bullying
.I was gonna try to walk but I suffer from chronic back and knee pain so like lol maybe don?t be an asshole to your.,Non-Bullying
He is making it so that supporting him means you are either an asshole or an Irish asshole* at this point.,Non-Bullying
" Thank you for saying it.', 'People are dumb for thinking that ""it\'s just an act"" so much.",Non-Bullying
"hey!', ""just a reminder, cis people, absolutely no one is expecting you to have sex with someone you're not physically attract""]",Non-Bullying
"If you are trying to stop golden rice you're an asshole."", '#GoldenRice.",Non-Bullying
".Because like you, he is an asshole!', 'But, you want have to worry about that much longer because we are going to vote.",Non-Bullying
You have free speech but but if you use it to be an asshole people are going to have an opinion on it.,Non-Bullying
"I hope I'm wrong."", 'When you complain about players on a team you support that everyone jump.",Non-Bullying
"ey #FWA2018 congoers!', 'Tip your FUCKING servers and your hotel staff.', ""If you don't, you are an asshole 100000% no excus""]",Non-Bullying
"..DLoesch again, no one has a constitutional right to a six-figure position writing for the atlantic..",Non-Bullying
And obviously they do know what thier r.,Non-Bullying
".If someone tells you in the strongest of terms that they are an asshole, you should strongly consider believing them..",Non-Bullying
"To sum it up: ""I\'m on twitter, but I only want to hear opinions similar to mine.', 'I hate about half of the americ.",Non-Bullying
"realDonaldTrump It doesn?t read that and the fact that you are trying to rewrite it is a laughable joke.', 'You are path.",Non-Bullying
" Who the hell is he ??', 'What about justice Loya ,Godhra and Tadipar Amit Shah ??', 'Suhel is.",Non-Bullying
"Yet here you are because it?s all you have.', 'What does it feel like waking up knowing yo.",Non-Bullying
".HillaryClinton Does it make you feel like a bigger person to insult others?', 'I think it probably does b.",Non-Bullying
"You mean your raping of US Citizens, right?', 'Who in the hell do you think you are?.",Non-Bullying
"WOW NICE ONE!!!!', 'haha get a life and stop making online jokes behind a screen.",Non-Bullying
".You are a worthless piece of shit if you make ANY type of suicide joke towards someone, KNOWING damn well they atte.",Non-Bullying
realDonaldTrump The people are given the power to ABSOLUTELY be in control of this of.,Non-Bullying
Can?t be more ashamed than you are being a smaller European club than Notts Forest ????Enjoy playing catch.,Non-Bullying
"Wow, so on a very technical basis you and .vice are not actually in the wrong.', ""It's a pity that by""]",Non-Bullying
".The world is just better of without me.', 'You all are better of without this worthless piece of shit ??.",Non-Bullying
".I am secretly an absolute idiot.', . if you are too..",Non-Bullying
".It doesn?t feel like a ?day job? when you get to be an idiot with your mates!', 'Check out everything that happened be.",Non-Bullying
".""If Pres.', 'Obasanjo tells you that this govt.', 'is corrupt and failed you will agree but if Gov.', 'Ayo Fayose or Chief F.",Non-Bullying
"Why are coworkers always tryna add you on social media?', 'like if I?m calling out and I can?t come in cause there?s an emergency a.",Non-Bullying
"Paul you are the joke my friend.', 'Just because someone suoports Trump doesnt mean they.",Non-Bullying
You?re an idiot if you think the Rams didn?t already h.,Non-Bullying
" I?m far from an expert and I don?t know all the facts.', 'However, I do know that anytime the pol.",Non-Bullying
.I MARAH SGT SBB I LAPAR SO FUCK ALL THE IGSHOPS WHO DO THAT ORG YG BELI PUN SAMA JE WHY WOULD U PAY SOMETHING TWICE.,Non-Bullying
"Tim McCarver is an idiot.', '?If you can?t pick it up 2-0, you know the pitcher is throwing hard.', 'How are you gonna pi.",Non-Bullying
"me, an idiot: this piece gives a broad overview of how to finance some social housing using evidence from actually exist.",Non-Bullying
" I am secretly an absolute idiot.', . if you are too..",Non-Bullying
"..realDonaldTrump Do unicorns poop rainbows in your alternate reality?', 'The caravan was broken up because there was n.",Non-Bullying
" I?m far from an expert and I don?t know all the facts.', 'However, I do know that anytime t.",Non-Bullying
"The statute of limitations are up #melissaschuman.', 'If you?re trying to copy Nicole Eggert she claims she was underage w.",Non-Bullying
"If you think that illegals aren't a threat, you are an idiot."", 'One only needs to look at the European countries to k.",Non-Bullying
people seriously say its bad compared to the older stuff im like are you an idiot.,Non-Bullying
"You are you not fit to be a judge to criticize chicken rendang Malaysian true cuisine,you make yoursel.",Non-Bullying
"Erm, Jugs - you seem to be missing the biggest game of the week: Arsenal against the Russian team nobody's heard of",Non-Bullying
".Another smear aricle on Vice by that stupid pissant .realWillNardi.', 'Will- I am vastly more intelligent, handsome, a.",Non-Bullying
.Things nobody cares about on your Snapchat/Instagram story: - Your meal - Your workout - How perfect your BF is -.,Non-Bullying
Just block - the only people that care about your opin.,Non-Bullying
"idk why y?all come on here with y?all opinions about people who smoke weed.', 'literally nobody cares about what you have to say.",Non-Bullying
"Earth Signs: lmao everyone?s so fake, nobody ever asks me how I feel.', 'No one even cares about me Someone: hey, are you.",Non-Bullying
"Kimberly, nobody cares about the British royals!', 'Please stop!', 'Thank you..",Non-Bullying
"Nobody cares about Stormy Daniels.', 'It?s g.",Non-Bullying
Met niggas in jail riding like 18year birds and 4 years down their sentence nobody cares about em... so think about what yo.,Non-Bullying
" We love how you in the MSM are harping on stories nobody cares about.', 'Keep it up..",Non-Bullying
"Man's life : When you?ve a problem."", '""Youve got a problem.', 'Nobody cares.', ""Don't talk about it fix it yourself youre a",Non-Bullying
".It was first explained to me that rich people had a right to be assholes because they?d earned it.', 'Bullshit.', 'Nobody.",Non-Bullying
"Just got your notification.', 'Please.', 'For the Love of God...nobody cares about your over a decade old story!', 'E.",Non-Bullying
"Nobody in Memphis cares.', 'You should worry about Coach Cal getting all that talent and wasting it..",Non-Bullying
.Can?t stand people who constantly talk about how they?re ?doing them? + they?re ?focused on themselves? or ?making.,Non-Bullying
America is so fucking cold cunt.,Non-Bullying
".Karma is really dishing out on some people this year and I couldn?t be fucking happier, serves you right ye cunt.",Non-Bullying
".what stupid cunt designed the obby to get to the fifteam egg.', 'TOO.FUCKING.DIFFICULT.', 'omg.",Non-Bullying
"GlennCarroll1 .PaulDollery Good lad Carroll ?? Fucking rage in the cage, nicely placed props and cameras.........a.",Non-Bullying
if you ever call poppy a bitch again I will mario.,Non-Bullying
"My cousin was verbally attacked by this man.', 'He started his abuse on a young Sikh girl who wore a turban, he physically ass.",Non-Bullying
.probably not gonna get my food anytime soon because the driver is a fucking cunt so might take a fat nap or some shit idk.,Non-Bullying
"Khabib and his crew try to jump .TheNotoriousMMA guy .RusHammerMMA yesterday.', 'Conor grabs 20 buddies jumps on.",Non-Bullying
"Bye yes, AND I FUCKING DARE YOU TO CALL MA.",Non-Bullying
.nude egypt girls teen cunt fucking.,Non-Bullying
".See if I?d wanted to type ?duck? instead of ?fuck? I ?fucking? would?ve!', '.Apple , stop trying to PG my messages and.",Non-Bullying
".My mom is fine, I got someone to help me but the moral of this is don?t be a fucking cunt..",Non-Bullying
" Video from inside the City bus at Anfield.', 'City coaching staff saying it as it is and what we?re all thinking??????????? ?Fucking.",Non-Bullying
.cool my dad was a fucking cunt to my therapist.,Non-Bullying
Khabib would fucking murder the pikey cunt.,Non-Bullying
10 years gun 5 years knife No fucking about with half sentences and shit No cunt will hold a weapon for their mates....,Non-Bullying
.Getting ready at someone else?s house is so fuxking stressful have to pack like 10 fucking outfits incase the plann.,Non-Bullying
".I really want to comment to Mr ?I?m fucking up the Welsh people? Cairns but the cunt has blocked me!', '#severnbridge.",Non-Bullying
If Thanos call T'challa a Nigger with that Hard ER we flipping the theater Clean the fuck over..,Non-Bullying
"Here it matters.', 'Not dude to skin color, ok my bad, b.",Non-Bullying
"I'm logged on again, man folks really tripping over this old dude...can we at least wait until he dr""]",Non-Bullying
".""I\'m allowed to insult you as much as I want to but if you say even one negative thing about my personal characteri.",Non-Bullying
".I have to control my mother.', 'She really said, ?HOW DO YOU SPELL NIGGA? and I said ?N-I-G-G-A? and she goes ?then wh.",Non-Bullying
Am a short nigger like yall man ????.,Non-Bullying
"My boyfriends phone died so he texted me from his homeboys phone to let me know and tell me goodnight.', 'His.",Non-Bullying
 Imagine he needed another nigger to help him win a title mxm Brock Lesnar did it one man.,Non-Bullying
 the fact that u ha.,Non-Bullying
"""Connor"": i got ditched &lt;14:05:28; ""Connor"": by my friiends &lt;14:05:32&gt; ""Connor"": and my rank is gone &lt;14:05:56&gt; ""C.",Non-Bullying
"CLASSIC HITS UK just played - Sly &amp; Family Stone - Sly &amp; Family Stone - Don't Call Me Nigger, Whitey",Non-Bullying
if you defend someone saying nigger you?re just as racist as them so go to hell.,Non-Bullying
 I'm not fake anything. Keep pretending being above it.,Non-Bullying
Nigger got his ass whipped by Kurt Angle ??????.,Non-Bullying
"[""Stack 'm up bitch stripper pole brick this nigger whip""]",Non-Bullying
Punch a nigger.,Non-Bullying
.I don?t got no problem but U ain?t No man I need u Ain?t no man I see... u ain?t no Man around me... my white bitch.,Non-Bullying
Buggin Django is hot fire but this hateful 8 shit had me thoroughly confused as to how he made such a m.,Non-Bullying
"How do you feel that RDJ did blackface in tropic thunder?', '? he?s an honorary nigger.', 'he had everyone thinking he was blac.",Non-Bullying
".What if u throw a NIGGER 3310 on a Volvo 745?', 'Both indestructible!.",Non-Bullying
". .DecolonialBlack: Black council member: ""we have great race relations in this town"" So why did the white council members sit silent when.",Non-Bullying
.Imagine if she says the same on her side nigger ????.,Non-Bullying
". .pilotwilliams2u: My mom asked me what ""JDMLOL"" mean and I told her.', ""She said that's not right because I would get offended if someone m""]",Non-Bullying
..KhutsoM. Nigger killed his whooole family what a dick!.,Non-Bullying
"[""RT .liIyurivert: 2. y'all asking for a fight then get mad and start saying 'nigger' then wonder why your ass is getting beat""]",Non-Bullying
"["".Bgbiskite .EdubEsq .JollyGood.Fella .thedopestdavid .TheRoot Because this white lawyer doesn't think being called""]",Non-Bullying
..5ile. or being a nigger.,Non-Bullying
.record on my beats nigger.,Non-Bullying
". .UF2: Left has already established a moral justification for deploying violence against wrong-thinkers.', 'If one is black and kills someon.",Non-Bullying
..RepublicanNBA .manalarba Wtf are you doing nigger.,Non-Bullying
.well what I predicted happened &amp; I got called a fag.,Non-Bullying
"[""I swear, I can't be around this family anymore."", ""My shit goes missing and fuckers act like they don't know what I'm""]",Non-Bullying
". .fattydaddy7: Just had a flashback to August, 1989.', 'I was in Hamburg, Germany and had a hooker pull my shirt over my head hockey fight s.",Non-Bullying
"..PaulSmithJnr What a sportsman he was, loved watching him on stage as kid, pint and fag in his hand, magician.",Non-Bullying
"..spann What happened to manners .', ""Someone momma didn't teach right ."", 'Talking to a man who shows us the weather re.",Non-Bullying
..emmacau97 Stoooppppp best part the big fuck off lynx bottle lighting the fag???? what a women.,Non-Bullying
"[""Earl k' Sneedy hits Women but also is beating women what a idiot fag""]",Non-Bullying
"..WingsScotland White paper was a revolving door, in that it gave you a Window into what could be possible,it also g.",Non-Bullying
"["".CelestialSoph .gibgirl1963 .Legit.Fag Interesting ..what's it about &amp; do you have a title yet?""]",Non-Bullying
.What About A Sissy Massage ..Like If You Dream Or Retweet If You Want #tgirl #tranny #transgender #sissy #fag.,Non-Bullying
".Okay before anything yes I am gay , boujie and a fag lol call it what you want .', 'But this happen when I first came.",Non-Bullying
"..bbcpointswest Just as well it shut, pouring in a tub of coco with a fag hanging out his mouth.', 'I dread to think ot.",Non-Bullying
"..Legit.Fag Lol ..I do that a lot.', 'What is it they say about people who talk to themselves???.",Non-Bullying
"["".FagConnor I'd RT, but between being a fag AND being actively opposed to Islam, saying that Allah is gay would prob""]",Non-Bullying
".So you were at a Gay Bar?', 'That could mean 2 things, your ethier a tranny, or a Fag Hag..', 'It sounds like from what y.",Non-Bullying
Well what she knows you can get it on the back of a fag packet if your stupid enough to still smoke..,Non-Bullying
Yeah mate you must get in so many fights you fucking hard nut what you fighting for the end of a fag down the pub you bum.,Non-Bullying
"I thought they still id'd as aroace so i was worried, bc if someone uses the""]",Non-Bullying
"Now after a Fag break, a girls got to do what a girls got to do:-) see what I do !!', '.BrightonD.",Non-Bullying
they just changed the meaning of what illegal border crossing is under Obama same w.,Non-Bullying
"*BESIDE.', 'Like imagine thinking that?s acceptable.', 'Bc of a letter at the end.', 'Straight ppl next week gonna be saying ?well i.",Non-Bullying
.Lunch & then the gym &amp; I haven?t even had a fag today &amp; where is kirsty what have you done with her..,Non-Bullying
".I really take it as a vast insult if a nigga asks me to fuck him!!!', 'Like what rubbish is that ???????? listen here fag I only eat pussy!!!.",Non-Bullying
Let's give these Nutella filled donuts a shot to be anything important like a party leader because he has his arm around his gf what a fag,Non-Bullying
"realDonaldTrump It just isn?t bad first off, and secondly do you ever hear.",Non-Bullying
".car broke down .', 'rang rac they come out and sent some old bloke who should be in a oap home he told me what was wro.",Non-Bullying
".Yeah, I\'m a ""fag,"" I\'m the real deal ""dyke"", a ""filthy"" homosexual.', 'Get the fuck over it you megalomaniacal idiot..",Non-Bullying
"Society - Everything beautiful Society - Don't eat though, You don't want to get fat Society - You don't eat?"", 'Fucking.",Non-Bullying
".This guy writes amazing sexy as fuck stories.', 'This one is about a pill that turns you from whatever fat fuck you?re.",Non-Bullying
rant ~ ? -practice makes me suicidal -I hate people who are cocky -if you say you're going to do something and pro,Non-Bullying
"Have you been surprised by how many men are viciously attacking the woman, calling her a slut and a liar and baying for h.",Non-Bullying
"If you tell me you want to ""hang out"" and then I message you asking when, and I get a response from some fat ugly d.",Non-Bullying
"RT if you've ever been called any of these names, but you've realized THAT BITCHES AINT SHIT!!"", '-ugly -emo -anorexic -wh.",Non-Bullying
